#CultSettingParam=CULT_SETTING_PARAM_ST
ID,Name,Distance,Angle,EventFlagId,Coefficient.1000,CultState1,CultState2,pad1
0,Default -- デフォルト,1.5,90,-1,0,-1,-1,-
10,Test -- テスト,1.5,90,-1,0,0,0,-
100,For testing -- テスト用,1.5,90,-1,0,0,0,-
101,,1.5,90,-1,0,0,0,-
102,,1.5,90,-1,0,0,2,-
103,,1.5,90,-1,0,0,3,-
104,,1.5,90,-1,0,0,4,-
105,,1.5,90,-1,0,0,5,-
106,,1.5,90,-1,0,0,6,-
107,,1.5,90,-1,0,0,7,-
108,,0.8,90,-1,0,0,8,-
109,,0.8,90,-1,0,0,1,-
110000,,0.8,90,-1,0,0,0,-
121000,,0.8,90,-1,0,0,0,-
124000,,0.8,90,-1,0,0,0,-
128000,,0.8,90,-1,0,0,0,-
134000,,0.8,90,-1,0,0,0,-
135000,,0.8,90,-1,0,0,0,-
137000,,0.8,90,-1,0,0,0,-
139000,,0.8,90,-1,0,0,0,-
141000,,0.8,90,-1,0,0,0,-
144000,,0.8,90,-1,0,0,0,-
223000,,0.8,90,-1,0,0,0,-
317000,,0.8,90,-1,0,0,0,-
