#KnowledgeLoadScreenItemParam=KNOWLEDGE_LOADSCREEN_ITEM_PARAM_ST
ID,Name,LoadscreenCategoryId,KnowledgeId,pad1
0,,0,1000000,-
1,,0,1020000,-
2,,0,1070000,-
3,,0,1090000,-
4,,0,2010000,-
5,,0,2020000,-
6,,0,2030000,-
7,,0,6000000,-
8,,0,6020000,-
9,,0,6040000,-
10,,0,6050000,-
11,,0,4030000,-
12,,0,4040000,-
13,,0,4050000,-
14,,0,5000000,-
15,,0,5010000,-
16,,0,5050000,-
17,,0,3020000,-
18,,0,3000000,-
19,,0,7000000,-
20,,0,7010000,-
21,,0,7080000,-
22,,0,7050000,-
23,,0,7120000,-
24,,0,16050000,-
25,,0,8000000,-
26,,0,8010000,-
27,,0,8020000,-
28,,0,8110000,-
29,,0,8060000,-
30,,0,8250000,-
31,,0,8170000,-
32,,0,9000000,-
33,,0,9010000,-
34,,0,9200000,-
35,,0,9130000,-
36,,0,10000000,-
37,,0,10010000,-
38,,0,10030000,-
39,,0,10090000,-
40,,0,12000000,-
41,,0,12050000,-
42,,0,11010000,-
43,,0,16000000,-
44,,0,16100000,-
45,,0,14010000,-
46,,0,14060000,-
47,,0,14150000,-
48,,0,13600000,-
49,,0,14040000,-
50,,0,13060000,-
51,,0,13170000,-
52,,0,13160000,-
53,,0,13220000,-
54,,0,13240000,-
55,,0,13050000,-
56,,0,13400000,-
57,,0,20000000,-
58,,0,20180000,-
59,,0,20210000,-
60,,0,20220000,-
61,,0,20230000,-
62,,0,20070000,-
63,,0,21170000,-
64,,0,21190000,-
65,,0,20120000,-
66,,0,22100000,-
67,,0,22120000,-
68,,0,22130000,-
69,,0,23000000,-
70,,268435456,58000000,-
71,,268435456,58001000,-
72,,268435456,58002000,-
73,,268435456,58003000,-
74,,268435456,19000000,-
75,,268435456,19001000,-
76,,268435456,19002000,-
77,,268435456,19003000,-
78,,268435456,23000000,-
79,,268435456,23001000,-
80,,268435456,88000000,-
81,,268435456,88001000,-
82,,268435456,88002000,-
83,,268435456,88003000,-
84,,268435456,73000000,-
85,,268435456,73001000,-
86,,268435456,73002000,-
87,,268435456,73003000,-
88,,268435456,70000000,-
89,,268435456,70001000,-
90,,268435456,70002000,-
91,,268435456,70003000,-
92,,268435456,19500000,-
93,,268435456,19501000,-
94,,268435456,19502000,-
95,,268435456,19503000,-
96,,268435456,22000000,-
97,,268435456,22001000,-
98,,268435456,22002000,-
99,,268435456,22003000,-
100,,268435456,24500000,-
101,,268435456,24501000,-
102,,268435456,24502000,-
103,,268435456,24503000,-
104,,268435456,76501000,-
105,,268435456,76502000,-
106,,268435456,26500000,-
107,,268435456,57500000,-
108,,268435456,47500000,-
109,,268435456,61500000,-
110,,268435456,61501000,-
111,,268435456,61503000,-
112,,536870912,20000,-
113,,536870912,20060,-
114,,536870912,20110,-
115,,536870912,20160,-
116,,536870912,20170,-
117,,536870912,20210,-
118,,536870912,20230,-
119,,536870912,20241,-
120,,536870912,20250,-
121,,536870912,20280,-
122,,536870912,20310,-
123,,536870912,20400,-
124,,536870912,20830,-
125,,536870912,20480,-
126,,536870912,20490,-
127,,536870912,20540,-
128,,536870912,20560,-
129,,536870912,20670,-
130,,536870912,10040,-
131,,536870912,10060,-
132,,1073741824,151,-
133,,1073741824,191,-
134,,1073741824,260,-
135,,1073741824,261,-
136,,1073741824,270,-
137,,1073741824,271,-
138,,1073741824,276,-
139,,1073741824,240,-
140,,1073741824,500,-
141,,1073741824,292,-
142,,1073741824,300,-
143,,1073741824,310,-
144,,1073741824,293,-
145,,1073741824,296,-
146,,1073741824,294,-
147,,1073741824,377,-
148,,1073741824,460,-
149,,1073741824,452,-
150,,1073741824,336,-
151,,1073741824,330,-
152,,1073741824,340,-
153,,1073741824,371,-
154,,1073741824,350,-
155,,1073741824,117,-
156,,1073741824,370,-
157,,1073741824,455,-
158,,1073741824,280,-
159,,1073741824,520,-
160,,1073741824,100,-
161,,1073741824,400,-
162,,1073741824,2009,-
163,,1073741824,2010,-
164,,1073741824,2013,-
165,,1073741824,2102,-
166,,1073741824,2103,-
167,,1073741824,2107,-
168,,1073741824,2119,-
169,,1073741824,2127,-
170,,1073741824,2132,-
171,,1073741824,2135,-
172,,1073741824,2141,-
173,,1073741824,2143,-
174,,1073741824,1300000,-
175,,1073741824,1301000,-
176,,1073741824,1303000,-
177,,1073741824,1308000,-
178,,1073741824,1310000,-
179,,1073741824,1350000,-
180,,1073741824,1354000,-
181,,1073741824,1355000,-
182,,1073741824,1374000,-
183,,1073741824,1375000,-
184,,1073741824,2400000,-
185,,1073741824,2402000,-
186,,1073741824,2420000,-
187,,1073741824,2431000,-
188,,1073741824,2435000,-
189,,1073741824,2453000,-
190,,1073741824,2640000,-
191,,1073741824,3490000,-
192,,1073741824,3501000,-
193,,1073741824,3508000,-
194,,1073741824,3521000,-
195,,1073741824,3530000,-
196,,1073741824,3540000,-
197,,1073741824,3550000,-
198,,1073741824,3554000,-
199,,1073741824,3581000,-
200,,1073741824,3780000,-
201,,0,400000,-
202,,0,400100,-
203,,0,400200,-
204,,0,400500,-
205,,0,402000,-
206,,0,402300,-
207,,0,404000,-
208,,0,404100,-
209,,0,404600,-
