#FootSfxParam=FOOT_SFX_PARAM_ST
ID,Name,FootSfxId000,FootSfxId001,FootSfxId002,FootSfxId003,FootSfxId004,FootSfxId005,FootSfxId006,FootSfxId007,FootSfxId008,FootSfxId009,FootSfxId010,FootSfxId011,FootSfxId012,FootSfxId013,FootSfxId014,FootSfxId015,FootSfxId016,FootSfxId017,FootSfxId018,FootSfxId019,FootSfxId020,FootSfxId021,FootSfxId022,FootSfxId023,FootSfxId024,FootSfxId025,FootSfxId026,FootSfxId027,FootSfxId028,FootSfxId029,FootSfxId030,FootSfxId031,FootSfxId032,FootSfxId033,FootSfxId034,FootSfxId035,FootSfxId036,FootSfxId037,FootSfxId038,FootSfxId039,FootSfxId040,FootSfxId041,FootSfxId042,FootSfxId043,FootSfxId044,FootSfxId045,FootSfxId046,FootSfxId047,FootSfxId048,FootSfxId049,FootSfxId050,FootSfxId051,FootSfxId052,FootSfxId053,FootSfxId054,FootSfxId055,FootSfxId056,FootSfxId057,FootSfxId058,FootSfxId059,FootSfxId060,FootSfxId061,FootSfxId062,FootSfxId063,FootSfxId064,FootSfxId065,FootSfxId066,FootSfxId067,FootSfxId068,FootSfxId069,FootSfxId070,FootSfxId071,FootSfxId072,FootSfxId073,FootSfxId074,FootSfxId075,FootSfxId076,FootSfxId077,FootSfxId078,FootSfxId079,FootSfxId080,FootSfxId081,FootSfxId082,FootSfxId083,FootSfxId084,FootSfxId085,FootSfxId086,FootSfxId087,FootSfxId088,FootSfxId089,FootSfxId090,FootSfxId091,FootSfxId092,FootSfxId093,FootSfxId094,FootSfxId095,FootSfxId096,FootSfxId097,FootSfxId098,FootSfxId099,FootSfxId100,FootSfxId101,FootSfxId102,FootSfxId103,FootSfxId104,FootSfxId105,FootSfxId106,FootSfxId107,FootSfxId108,FootSfxId109,FootSfxId110,FootSfxId111,FootSfxId112,FootSfxId113,FootSfxId114,FootSfxId115,FootSfxId116,FootSfxId117,FootSfxId118,FootSfxId119,FootSfxId120,FootSfxId121,FootSfxId122,FootSfxId123,FootSfxId124,FootSfxId125,FootSfxId126,FootSfxId127,FootSfxId128,FootSfxId129,FootSfxId130,FootSfxId131,FootSfxId132,FootSfxId133,FootSfxId134,FootSfxId135,FootSfxId136,FootSfxId137,FootSfxId138,FootSfxId139,FootSfxId140,FootSfxId141,FootSfxId142,FootSfxId143,FootSfxId144,FootSfxId145,FootSfxId146,FootSfxId147,FootSfxId148,FootSfxId149,FootSfxId150,FootSfxId151,FootSfxId152,FootSfxId153,FootSfxId154,FootSfxId155,FootSfxId156,FootSfxId157,FootSfxId158,FootSfxId159,FootSfxId160,FootSfxId161,FootSfxId162,FootSfxId163,FootSfxId164,FootSfxId165,FootSfxId166,FootSfxId167,FootSfxId168,FootSfxId169,FootSfxId170,FootSfxId171,FootSfxId172,FootSfxId173,FootSfxId174,FootSfxId175,FootSfxId176,FootSfxId177,FootSfxId178,FootSfxId179,FootSfxId180,FootSfxId181,FootSfxId182,FootSfxId183,FootSfxId184,FootSfxId185,FootSfxId186,FootSfxId187,FootSfxId188,FootSfxId189,FootSfxId190,FootSfxId191,FootSfxId192,FootSfxId193,FootSfxId194,FootSfxId195,FootSfxId196,FootSfxId197,FootSfxId198,FootSfxId199
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,101001,101001,101002,101003,101004,0,0,0,0,0,101011,101011,101012,101013,101014,0,0,0,0,0,101021,101021,101022,101023,101024,0,0,0,0,0,101031,101031,101032,101033,101034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101101,101101,101102,101103,101104,101105,101106,101107,101108,101109,101111,101111,101112,101113,101114,0,0,0,0,0,101121,101121,101122,101123,101124,0,0,0,0,0,101131,101131,101132,101133,101134,101131,101131,101131,101131,101131,101141,101141,101142,101143,101144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,102001,102001,102002,102003,102004,0,0,0,0,0,102011,102011,102012,102013,102014,102015,102016,102017,102018,102019,102021,102021,102022,102023,102024,0,0,0,0,0,102031,102031,102032,102033,102034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102101,102101,102102,102103,102104,0,0,0,0,0,102111,102111,102112,102113,102114,0,0,0,0,0,102121,102121,102122,102123,102124,0,0,0,0,0,102131,102131,102132,102133,102134,0,0,0,0,0,102141,102141,102142,102143,102144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,104001,104001,104002,104003,104004,0,0,0,0,0,104011,104011,104012,104013,104014,104015,104016,104017,104018,104019,104021,104021,104022,104023,104024,0,0,0,0,0,104031,104031,104032,104033,104034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104101,104101,104102,104103,104104,0,0,0,0,0,104111,104111,104112,104113,104114,0,0,0,0,0,104121,104121,104122,104123,104124,0,0,0,0,0,104131,104131,104132,104133,104134,0,0,0,0,0,104141,104141,104142,104143,104144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,103025,103026,103027,103028,103029,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,120001,120001,120002,120003,120004,0,0,0,0,0,120011,120011,120012,120013,120014,0,0,0,0,0,120021,120021,120022,120023,120024,0,0,0,0,0,120031,120031,120032,120033,120034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120101,120101,120102,120103,120104,0,0,0,0,0,120111,120111,120112,120113,120114,0,0,0,0,0,120121,120121,120122,120123,120124,0,0,0,0,0,120131,120131,120132,120133,120134,0,0,0,0,0,120141,120141,120142,120143,120144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
