#EquipMtrlSetParam=EQUIP_MTRL_SET_PARAM_ST
ID,Name,MaterialId01,MaterialId02,MaterialId03,MaterialId04,MaterialId05,ItemNum01,ItemNum02,ItemNum03,ItemNum04,ItemNum05,isDisableDispNum01,isDisableDispNum02,isDisableDispNum03,isDisableDispNum04,isDisableDispNum05,pad1
0,Basic -- 基本,1250,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1,Basic + 1 -- 基本＋１,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
2,Basic + 2 -- 基本＋２,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
3,Basic + 3 -- 基本＋３,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
4,Basic + 4 -- 基本＋４,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
5,Basic + 5 -- 基本＋５,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
6,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
7,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
8,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
9,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
10,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100,,1110,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
101,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
102,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
103,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
104,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
105,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
106,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
107,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
108,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
109,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
110,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
200,,1100,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
201,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
202,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
203,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
204,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
205,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
206,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
207,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
208,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
209,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
210,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
300,,1120,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
301,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
302,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
303,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
304,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
305,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
306,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
307,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
308,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
309,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
310,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
400,,1130,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
401,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
402,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
403,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
404,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
405,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
406,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
407,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
408,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
409,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
410,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
500,,1140,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
501,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
502,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
503,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
504,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
505,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
506,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
507,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
508,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
509,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
510,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
600,,1150,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
601,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
602,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
603,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
604,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
605,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
606,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
607,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
608,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
609,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
610,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
700,,1160,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
701,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
702,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
703,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
704,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
705,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
706,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
707,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
708,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
709,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
710,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
800,,1170,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
801,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
802,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
803,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
804,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
805,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
806,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
807,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
808,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
809,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
810,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
900,,1180,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
901,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
902,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
903,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
904,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
905,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
906,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
907,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
908,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
909,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
910,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1000,,1190,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1001,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1002,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1003,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1004,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1005,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1006,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1007,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1008,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1009,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1010,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1100,,1200,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1101,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1102,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1103,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1104,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1105,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1106,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1107,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1108,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1109,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1110,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1200,,1210,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1201,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1202,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1203,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1204,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1205,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1206,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1207,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1208,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1209,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1210,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1300,,1220,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1301,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1302,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1303,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1304,,1001,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1305,,1001,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1306,,1001,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1307,,1002,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1308,,1002,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1309,,1002,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
1310,,1003,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1400,,1230,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
1401,,1000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
1402,,1000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
1403,,1000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
