#ThrowParam=THROW_INFO_BANK
ID,Name,AtkChrId,DefChrId,Dist,DiffAngMin,DiffAngMax,UpperYrange,LowerYrange,DiffAngMyToDef,throwTypeId,atkAnimid,defAnimId,escHp,selfEscCycleTime,SphereCastRadiusRateTop,SphereCastRadiusRateLow,PadType,AtkEnableState,AtkSorbDmyId,DefSorbDmyId,ThrowType,SelfEscCycleInt,DmyHasChrDirType,isTurnAtker,isSkipWepCate,isSkipSphereCast,Unk1,Unk2,Unk3,Unk4,Unk5,subAtkSorbDmyId,subDefSorbDmyId,Dist2,DiffAngMin2,DiffAngMax2,UpperYrange2,LowerYrange2,DiffAngMyToDef2,performDmyId0,performDmyId1,pad1
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
100,back PC → PC -- 背面　PC→PC,0,0,1.5,0,180,0.5,0.65,180,0,30400,70000,0,0,70,70,1,0,230,0,1,0,0,0,0,0,0,0,0,0,0,230,0,1.5,0,35,0.4,0.55,70,-1,-1,-
101,Paris pc → PC -- パリィ　PC→PC,0,0,1.5,90,180,0.5,0.65,60,0,30201,70010,0,0,70,70,1,0,231,0,8,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,-1,-1,-
110,,0,0,1.5,0,180,0.1,0.65,180,10,40021,70100,0,0,70,70,1,0,231,0,13,0,0,0,1,0,0,0,0,0,0,238,0,0,0,0,0,0,0,-1,-1,-
107000,Back PC → Skeleton -- 背面　PC→スケルトン,0,1070,1.5,0,110,0.5,0.65,110,0,30400,11000,0,0,70,70,1,0,230,0,1,0,0,1,0,0,0,0,0,0,0,230,0,1.5,0,45,0.4,0.55,70,-1,-1,-
110400,Back PC → dead -- 背面　PC→亡者,0,1040,1.5,0,110,0.5,0.65,110,0,30400,2500,0,0,70,70,1,0,230,0,1,0,0,1,0,0,0,0,0,0,0,230,0,1.5,0,45,0.4,0.55,70,-1,-1,-
110710,,0,1071,1.5,0,110,0.5,0.65,110,0,30400,11000,0,0,70,70,1,0,230,0,1,0,0,1,0,0,0,0,0,0,0,230,0,1.5,0,45,0.4,0.55,70,-1,-1,-
111000,Back PC → dead soldier -- 背面　PC→亡者兵士,0,1100,1.5,0,110,0.5,0.65,110,0,30400,11000,0,0,70,70,1,0,230,0,1,0,0,1,0,0,0,0,0,0,0,230,0,1.5,0,45,0.4,0.55,70,-1,-1,-
111010,,0,1101,1.5,0,110,0.5,0.65,110,0,30400,11000,0,0,70,70,1,0,230,0,1,0,0,1,0,0,0,0,0,0,0,230,0,1.5,0,45,0.4,0.55,70,-1,-1,-
111020,,0,1102,1.5,0,110,0.5,0.65,110,0,30400,11000,0,0,70,70,1,0,230,0,1,0,0,1,0,0,0,0,0,0,0,230,0,1.5,0,45,0.4,0.55,70,-1,-1,-
