#ModelSfxParam=MODEL_SFX_PARAM_ST
ID,Name,VfxId1,DummyPolyId1,pad1,VfxId2,DummyPolyId2,pad2,VfxId3,DummyPolyId3,pad3,VfxId4,DummyPolyId4,pad4,VfxId5,DummyPolyId5,pad5,VfxId6,DummyPolyId6,pad6,VfxId7,DummyPolyId7,pad7,VfxId8,DummyPolyId8,pad8,VfxId9,DummyPolyId9,pad9,VfxId10,DummyPolyId10,pad10
0,For testing -- テスト用,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
80000,Message tombstone (before lighting) -- メッセージ墓石（点灯前）,82,10,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
80010,Message tombstone (after lighting) -- メッセージ墓石（点灯後）,83,10,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1030000,[Ritual] Princess alternative obj -- 【儀式】皇女代替OBJ,691094,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1230000,Ojo Candlestick (Low) -- 王城燭台（低）,800030,201,-,800030,211,-,800030,212,-,0,0,-,800030,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240000,Candle ver00 -- 蝋燭ver00,839010,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240001,Candle Ver01 -- 蝋燭ver01,899999,200,-,34,202,-,34,210,-,0,0,-,34,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240002,Candle Ver02 -- 蝋燭ver02,899999,210,-,34,211,-,34,212,-,0,0,-,34,213,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240010,Blue Flame バリエ 1 -- 青炎バリエ1,899998,200,-,48,201,-,48,202,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240011,Blue Flame バリエ 2 -- 青炎バリエ2,899998,200,-,48,202,-,48,210,-,0,0,-,48,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240012,,800032,200,-,800038,202,-,800032,210,-,0,0,-,800032,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1510000,Old Lantern -- ランタン(古),800050,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
2120000,Statue Candle lit -- 石像ロウソク点灯,899999,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
4660000,General-purpose wall lighting (torches) -- 汎用壁照明（松明）,800023,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
4661000,General-purpose Ceiling lighting (torches) -- 汎用天井照明(松明),800022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
4665000,,800022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
4665001,,851002,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
9004010,Concept Solar -- コンセプト版太陽,694720,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
301230000,,800030,201,-,800030,212,-,800030,211,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
301240000,,839010,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
302518000,Ojo Candles -- 王城蝋燭,83,10,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
302525000,Hanging Lantern 1 -- 吊るし灯篭1,800060,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
302526000,Fire of firewood -- 薪の炎,800061,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
302564000,Burnt Corpse -- 燃えた死体,800062,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
302565000,Having a statue candle -- 彫像蝋燭持ち,800052,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
304517000,Ojo 1 Lantern 1 -- 王城1ランタン1,800050,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
304783000,,800030,210,-,800030,212,-,800043,214,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
304849000,,800030,210,-,800030,212,-,800043,214,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
304857000,Ojo Candlestick (High) -- 王城燭台（高）,800030,210,-,800030,212,-,800043,214,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
304858000,,800032,201,-,800038,202,-,0,210,-,0,0,-,800032,211,-,0,0,-,800032,213,-,0,0,-,0,0,-,0,0,-
304863000,Ojo 2 Torch -- 王城2　トーチ,800023,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
311010000,,800061,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
311011000,,800061,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
315100000,Bonfires Tree -- 焚火のツリー,831020,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
316500000,Hanging Lantern 1 -- 吊るし灯篭1,800060,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
316500001,Hanging Lantern 1 -- 吊るし灯篭1,999105,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319006000,Candle with Dish -- 蝋燭(皿付き),800050,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319006001,,800032,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319010000,Lantern -- ランタン,831022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319012000,Hanging Torch -- 吊るしトーチ,831022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319013000,,831022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319014000,,831021,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
319015000,,839010,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
320650000,,800022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
324014000,Incense Burner M32 -- 香炉ｍ32,532401400,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
329050000,,839010,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330009000,Skeleton Forest Candle -- 森骸骨蝋燭,833022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330010000,Mori Lantern -- 森ランタン,610028,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330011000,,833022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330052000,,833020,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330060000,,800050,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330090000,,833020,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330091000,,833020,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
330095000,,833026,200,-,833025,201,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
331043000,,833022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
331050000,,800061,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
331051000,,800061,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
331052000,,800061,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
