#WepAbsorpPosParam=WEP_ABSORP_POS_PARAM_ST
ID,Name,ShealthTime,pad1,OneHandDamipolyId0,OneHandDamipolyId1,BothHandDamipolyId0,ShealthDamipolyId0,ShealthDamipolyId1,OneHandDamipolyId2,OneHandDamipolyId3,BothHandDamipolyId1,ShealthDamipolyId2,ShealthDamipolyId3,OneHandDamipolyId4,OneHandDamipolyId5,BothHandDamipolyId2,ShealthDamipolyId4,ShealthDamipolyId5,OneHandDamipolyId6,OneHandDamipolyId7,BothHandDamipolyId3,ShealthDamipolyId6,ShealthDamipolyId7,Unk22,Unk23,Unk24,Unk25,BothHandDamipolyId4,BothHandDamipolyId5,BothHandDamipolyId6,BothHandDamipolyId7,Unk30,Unk31,Unk32,Unk33,Unk34,Unk35,Unk36,Unk37,Unk38,Unk39,Unk40,Unk41,Unk42,Unk43,Unk44,Unk45,Unk46,Unk47,Unk48,Unk49,Unk50,Unk51,Unk52,Unk53,pad2
0,Test -- test,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
4,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
5,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
6,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
7,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
9,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
10,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
11,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
12,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
13,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
14,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
15,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
16,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
17,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
18,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
19,Dmy -- dmy,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
20,Dagger (normal) -- 短剣(通常),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
21,Dagger (piercing) -- 短剣(刺突),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
22,Dagger (throwing) -- 短剣(投擲),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
23,Straight Sword (normal) -- 直剣(通常),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
24,Straight Sword -- 直剣(刺突),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
25,Straight Sword (Large) -- 直剣(大型),2,-,20,21,24,36,35,35,36,35,36,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,36,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
26,Straight Sword (huge) -- 直剣(巨大),2,-,20,21,24,36,35,35,36,35,36,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,36,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
27,Piercing Swords (normal) -- 刺剣(通常),0,-,20,21,24,31,30,30,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,31,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
